date,value_weighted_return
1951-06-29,-0.025533
1951-07-31,0.071611
1951-08-31,0.045004
1951-09-28,0.009087
1951-10-31,-0.022629
1951-11-30,0.006193
1951-12-31,0.035266
1952-01-31,0.017002
1952-02-29,-0.025141
1952-03-31,0.04587
1952-04-30,-0.049148
1952-05-29,0.032847
1952-06-30,0.039575
1952-07-31,0.011404
1952-08-29,-0.006733
1952-09-30,-0.019147
1952-10-31,-0.005309
1952-11-28,0.059347
1952-12-31,0.031066
1953-01-30,-0.001644
1953-02-27,-0.00182
1953-03-31,-0.012862
1953-04-30,-0.027705
1953-05-29,0.006921
1953-06-30,-0.016377
1953-07-31,0.025111
1953-08-31,-0.044056
1953-09-30,0.00301
1953-10-30,0.047523
1953-11-30,0.028501
1953-12-31,0.000678
1954-01-29,0.052722
1954-02-26,0.017551
1954-03-31,0.037377
1954-04-30,0.043162
1954-05-28,0.031704
1954-06-30,0.01156
1954-07-30,0.050668
1954-08-31,-0.022763
1954-09-30,0.064633
1954-10-29,-0.016216
1954-11-30,0.095387
1954-12-31,0.055469
1955-01-31,0.006838
1955-02-28,0.031354
1955-03-31,-0.000995
1955-04-29,0.032352
1955-05-31,0.012033
1955-06-30,0.066108
1955-07-29,0.020246
1955-08-31,0.004197
1955-09-30,-0.002009
1955-10-31,-0.025752
1955-11-30,0.071864
1955-12-30,0.016543
1956-01-31,-0.02812
1956-02-29,0.03961
1956-03-29,0.068456
1956-04-30,0.005083
1956-05-31,-0.049309
1956-06-29,0.037251
1956-07-31,0.05083
1956-08-31,-0.02982
1956-09-28,-0.049608
1956-10-31,0.007292
1956-11-30,0.004678
1956-12-31,0.034957
1957-01-31,-0.032121
1957-02-28,-0.018703
1957-03-29,0.024112
1957-04-30,0.045179
1957-05-31,0.036679
1957-06-28,-0.005054
1957-07-31,0.008938
1957-08-30,-0.050051
1957-09-30,-0.057586
1957-10-31,-0.041251
1957-11-29,0.025605
1957-12-31,-0.037361
1958-01-31,0.049595
1958-02-28,-0.014257
1958-03-31,0.0337
1958-04-30,0.030833
1958-05-29,0.024582
1958-06-30,0.029493
1958-07-31,0.044844
1958-08-29,0.019181
1958-09-30,0.04868
1958-10-31,0.027184
1958-11-28,0.03061
1958-12-31,0.0531
1959-01-30,0.00912
1959-02-27,0.01122
1959-03-31,0.004669
1959-04-30,0.037899
1959-05-29,0.019595
1959-06-30,0.000676
1959-07-31,0.034362
1959-08-31,-0.012446
1959-09-30,-0.044977
1959-10-30,0.015746
1959-11-30,0.018557
1959-12-31,0.028043
1960-01-29,-0.066244
1960-02-29,0.014419
1960-03-31,-0.012822
1960-04-29,-0.015271
1960-05-31,0.034098
1960-06-30,0.022833
1960-07-29,-0.022705
1960-08-31,0.032215
1960-09-30,-0.058673
1960-10-31,-0.004705
1960-11-30,0.048617
1960-12-30,0.048537
1961-01-31,0.063952
1961-02-28,0.037005
1961-03-30,0.03061
1961-04-28,0.005645
1961-05-31,0.025894
1961-06-30,-0.028499
1961-07-31,0.029955
1961-08-31,0.026854
1961-09-29,-0.01999
1961-10-31,0.027331
1961-11-30,0.045451
1961-12-29,0.000713
1962-01-31,-0.036147
1962-02-28,0.019512
1962-03-30,-0.004688
1962-04-30,-0.063435
1962-05-31,-0.08462
1962-06-29,-0.082615
1962-07-31,0.065438
1962-08-31,0.023417
1962-09-28,-0.050158
1962-10-31,0.002188
1962-11-30,0.110137
1962-12-31,0.011865
1963-01-31,0.051848
1963-02-28,-0.021931
1963-03-29,0.032917
1963-04-30,0.047439
1963-05-31,0.020051
1963-06-28,-0.018031
1963-07-31,-0.001717
1963-08-30,0.052684
1963-09-30,-0.011898
1963-10-31,0.027708
1963-11-29,-0.005549
1963-12-31,0.021737
1964-01-31,0.02579
1964-02-28,0.017207
1964-03-31,0.017636
1964-04-30,0.004607
1964-05-28,0.017403
1964-06-30,0.01508
1964-07-31,0.020118
1964-08-31,-0.011266
1964-09-30,0.03048
1964-10-30,0.008869
1964-11-30,0.00309
1964-12-31,0.00369
1965-01-29,0.038646
1965-02-26,0.006946
1965-03-31,-0.009715
1965-04-30,0.033652
1965-05-28,-0.004351
1965-06-30,-0.051868
1965-07-30,0.01676
1965-08-31,0.030883
1965-09-30,0.031952
1965-10-29,0.029271
1965-11-30,0.003065
1965-12-31,0.013545
1966-01-31,0.012122
1966-02-28,-0.008621
1966-03-31,-0.020923
1966-04-29,0.024837
1966-05-31,-0.052538
1966-06-30,-0.010317
1966-07-29,-0.01287
1966-08-31,-0.075388
1966-09-30,-0.006958
1966-10-31,0.042294
1966-11-30,0.017516
1966-12-30,0.00621
1967-01-31,0.08553
1967-02-28,0.010945
1967-03-31,0.043384
1967-04-28,0.041609
1967-05-31,-0.039293
1967-06-30,0.026902
1967-07-31,0.04919
1967-08-31,-0.006282
1967-09-29,0.034286
1967-10-31,-0.027433
1967-11-30,0.007902
1967-12-29,0.033699
1968-01-31,-0.036331
1968-02-29,-0.033624
1968-03-29,0.005117
1968-04-30,0.094148
1968-05-31,0.02704
1968-06-28,0.011527
1968-07-30,-0.022024
1968-08-30,0.018037
1968-09-30,0.044454
1968-10-31,0.009042
1968-11-29,0.058501
1968-12-31,-0.033873
1969-01-31,-0.006711
1969-02-28,-0.053641
1969-03-28,0.030505
1969-04-30,0.020527
1969-05-29,0.00504
1969-06-30,-0.067388
1969-07-31,-0.065171
1969-08-29,0.051491
1969-09-30,-0.02259
1969-10-31,0.055638
1969-11-28,-0.032164
1969-12-31,-0.01968
1970-01-30,-0.073254
1970-02-27,0.056706
1970-03-31,-0.004729
1970-04-30,-0.105318
1970-05-29,-0.064346
1970-06-30,-0.051067
1970-07-31,0.07417
1970-08-31,0.050036
1970-09-30,0.047535
1970-10-30,-0.018208
1970-11-30,0.050449
1970-12-31,0.060723
1971-01-29,0.05203
1971-02-26,0.016913
1971-03-31,0.044778
1971-04-30,0.033332
1971-05-28,-0.036409
